coordinates,
647-ROSE-B76-LCF,"-118.179196,34.194701,-118.179187,34.194693,-118.179172,34.194688,-118.178333,34.194348,"
647-ROSE-B51-C07,"-118.192889,34.138736,-118.192927,34.138756,-118.192952,34.138767,-118.194026,34.139386,"
647-ROSE-B52-LOS,"-118.184376,34.121781,-118.184369,34.121799,-118.184368,34.121809,-118.183234,34.120197,"
647-ROSE-B56-LOS,"-118.188218,34.130091,-118.188206,34.130096,-118.188206,34.130106,-118.188535,34.130779,"
647-ROSE-22-86A-AD,"-118.124637,34.179800,-118.123302,34.179806,-118.122449,34.179813,-118.121424,34.179573,"
647-ROSE-B76-PAS,"-118.178317,34.193209,-118.178228,34.193480,-118.178137,34.193717,-118.178333,34.194345,"
647-ROSE-B39-LOS,"-118.181830,34.140921,-118.181848,34.140903,-118.181875,34.140901,-118.190460,34.137638,"
647-ROSE-B51-C07,"-118.195052,34.139594,-118.194940,34.139587,-118.194822,34.139580,-118.194025,34.139387,"
647-ROSE-6504-1870A,"-118.188271,34.135979,-118.188335,34.135950,-118.188397,34.135812,-118.189625,34.133637,"
647-ROSE-6504-1872A,"-118.186366,34.138521,-118.186857,34.138254,-118.187356,34.138010,-118.188281,34.135970,"
647-ROSE-B40-LOS,"-118.213773,34.138979,-118.213527,34.138984,-118.213473,34.139041,-118.201576,34.139613,"
647-ROSE-04-72,"-118.188169,34.136224,-118.187944,34.136837,-118.187748,34.137305,-118.185956,34.138793,"
647-ROSE-B76-PAS,"-118.178303,34.192491,-118.177931,34.192573,-118.177791,34.192652,-118.177005,34.193997,"
647-ROSE-04-70,"-118.189628,34.133640,-118.189572,34.133911,-118.189513,34.134111,-118.188166,34.136229,"
647-ROSE-B76-LCF,"-118.178320,34.193205,-118.178349,34.193070,-118.178387,34.192914,-118.178301,34.192488,"
VZ_LAN_00001594,"-118.168688,34.191353,-118.168663,34.191312,-118.168666,34.190835,-118.168666,34.190835,"
VZ_LAN_00002770,"-118.164834,34.144773,-118.164502,34.144977,-118.164228,34.145164,-118.164094,34.145301,"
DYEA_LSA_8108676,"-118.136560,34.173517,-118.137877,34.173503,-118.137877,34.173503,-118.137877,34.173503,"
VZ_LAN_00001762,"-118.178329,34.194329,-118.177927,34.194144,-118.177832,34.194295,-118.176017,34.196757,"
VZ_LAN_00003896,"-118.093820,34.156800,-118.093834,34.156810,-118.093833,34.156976,-118.096177,34.156943,"
VZ_LAN_00002647,"-118.176246,34.112418,-118.179088,34.113411,-118.179088,34.113411,-118.179088,34.113411,"
VZ_LAN_00002387,"-118.176246,34.112418,-118.179088,34.113411,-118.179088,34.113411,-118.179088,34.113411,"
DYEA_LSA_8108677,"-118.141886,34.173519,-118.141515,34.173490,-118.141515,34.173490,-118.141515,34.173490,"
DYEA_LSA_8108665,"-118.177417,34.129372,-118.177393,34.129585,-118.177088,34.130844,-118.183190,34.133790,"
VZ_LAN_00002767,"-118.147724,34.168361,-118.147722,34.168932,-118.147179,34.168933,-118.146217,34.169139,"
DYEA_LSA_8108667,"-118.159282,34.131573,-118.159212,34.131600,-118.158746,34.131601,-118.157675,34.131646,"
DYEA_LSA_8108663,"-118.110661,34.155369,-118.110618,34.155298,-118.110618,34.154268,-118.110666,34.154219,"
DYEA_LSA_8108658,"-118.116631,34.174997,-118.116613,34.173856,-118.116701,34.173854,-118.116701,34.173854,"
VZ_LAN_00002750,"-118.150913,34.160240,-118.150892,34.160207,-118.150514,34.160207,-118.148352,34.159639,"
DYEA_LSA_8108645,"-118.167368,34.183007,-118.164850,34.183031,-118.164764,34.182982,-118.164764,34.182982,"
VZ_LAN_00000750,"-118.103196,34.164181,-118.103176,34.164214,-118.103177,34.164237,-118.099045,34.164206,"
DYEA_LSA_8108685,"-118.163080,34.170175,-118.163147,34.170217,-118.162997,34.171131,-118.162892,34.171142,"
VZ_LAN_00001037,"-118.110624,34.159861,-118.110570,34.159858,-118.110572,34.159824,-118.110565,34.159401,"
DYEA_LSA_8108684,"-118.165295,34.163606,-118.165418,34.163836,-118.165472,34.163881,-118.167060,34.167307,"
DYEA_LSA_8108662,"-118.117792,34.166655,-118.117773,34.166251,-118.117757,34.165492,-118.115603,34.165288,"
DYEA_LSA_8108707,"-118.098356,34.162101,-118.098354,34.161519,-118.098354,34.161319,-118.096177,34.156943,"
VZ_LAN_00002769,"-118.157497,34.159974,-118.157781,34.159544,-118.158409,34.160258,-118.158409,34.160258,"
DYEA_LSA_8108661,"-118.118857,34.171882,-118.118686,34.171784,-118.118656,34.169494,-118.118653,34.169492,"
DYEA_LSA_8108675,"-118.131010,34.169610,-118.131031,34.168658,-118.131031,34.168658,-118.131031,34.168658,"
DYEA_LSA_8109008,"-118.164043,34.159841,-118.164049,34.159892,-118.164454,34.160584,-118.165298,34.163607,"
DYEA_LSA_8109002,"-118.176773,34.175954,-118.176695,34.176016,-118.176555,34.176109,-118.174149,34.182921,"
